STT,Ngày,Mã,"Tham
 chiếu","Mở 
cửa","Đóng
 cửa","Cao
nhất","Thấp
 nhất","Trung
 bình",Thay đổi giá,,GD khớp lệnh,,GD thỏa thuận,,Tổng giao dịch,,"Vốn hóa
 thị trường"
,,,,,,,,,+/-,%,KL,GT,KL,GT,KL,GT,
409,03/10/2024,VIX,"12,200 ","12,300 ","11,850 ","12,350 ","11,700 ","12,016 ",(350),(2.87),"36,110,100 ","433,916,000,000 ",0 ,0 ,"36,110,100 ","433,916,000,000 ","17,283,381,100,050 "
410,02/10/2024,VIX,"12,350 ","12,300 ","12,200 ","12,400 ","12,150 ","12,238 ",(150),(1.21),"21,606,200 ","264,411,000,000 ",0 ,0 ,"21,606,200 ","264,411,000,000 ","17,793,860,710,600 "
411,01/10/2024,VIX,"12,000 ","12,100 ","12,350 ","12,650 ","12,000 ","12,404 ",350 ,2.92 ,"50,102,400 ","621,447,000,000 ","7,000,000 ","78,400,000,000 ","57,102,400 ","699,847,000,000 ","18,012,637,686,550 "
412,30/09/2024,VIX,"11,900 ","11,950 ","12,000 ","12,200 ","11,800 ","12,014 ",100 ,0.84 ,"23,709,300 ","284,849,000,000 ",0 ,0 ,"23,709,300 ","284,849,000,000 ","17,502,158,076,000 "
413,27/09/2024,VIX,"11,950 ","12,000 ","11,900 ","12,150 ","11,850 ","11,995 ",(50),(0.42),"23,206,000 ","278,359,000,000 ",0 ,0 ,"23,206,000 ","278,359,000,000 ","17,356,306,758,700 "
414,26/09/2024,VIX,"12,000 ","12,050 ","11,950 ","12,100 ","11,900 ","11,988 ",(50),(0.42),"19,666,300 ","235,765,000,000 ","254,000 ","2,870,200,000 ","19,920,300 ","238,635,200,000 ","17,429,232,417,350 "
415,25/09/2024,VIX,"11,400 ","11,450 ","12,000 ","12,000 ","11,450 ","11,784 ",600 ,5.26 ,"39,869,600 ","469,836,000,000 ",0 ,0 ,"39,869,600 ","469,836,000,000 ","17,502,158,076,000 "
416,24/09/2024,VIX,"11,350 ","11,400 ","11,400 ","11,450 ","11,300 ","11,372 ",50 ,0.44 ,"7,783,800 ","88,516,000,000 ","309,000 ","3,505,450,000 ","8,092,800 ","92,021,450,000 ","16,627,050,172,200 "
417,23/09/2024,VIX,"11,250 ","11,400 ","11,350 ","11,450 ","11,300 ","11,377 ",100 ,0.89 ,"9,292,300 ","105,715,000,000 ","3,000,000 ","35,400,000,000 ","12,292,300 ","141,115,000,000 ","16,554,124,513,550 "
418,20/09/2024,VIX,"11,400 ","11,500 ","11,250 ","11,600 ","11,250 ","11,343 ",(150),(1.32),"34,788,200 ","394,598,000,000 ","50,000 ","580,000,000 ","34,838,200 ","395,178,000,000 ","16,408,273,196,250 "
419,19/09/2024,VIX,"11,350 ","11,450 ","11,400 ","11,500 ","11,300 ","11,397 ",50 ,0.44 ,"8,365,000 ","95,340,000,000 ",0 ,0 ,"8,365,000 ","95,340,000,000 ","7,631,669,865,000 "
420,18/09/2024,VIX,"11,300 ","11,350 ","11,350 ","11,600 ","11,300 ","11,429 ",50 ,0.44 ,"15,519,400 ","177,366,000,000 ","110,000 ","1,160,500,000 ","15,629,400 ","178,526,500,000 ","7,598,197,628,750 "
421,17/09/2024,VIX,"11,050 ","11,050 ","11,300 ","11,300 ","11,050 ","11,160 ",250 ,2.26 ,"10,040,600 ","112,055,000,000 ","14,554,300 ","171,240,740,000 ","24,594,900 ","283,295,740,000 ","7,564,725,392,500 "
422,16/09/2024,VIX,"11,300 ","11,400 ","11,050 ","11,400 ","11,050 ","11,204 ",(250),(2.21),"12,148,800 ","136,120,000,000 ","32,075,000 ","366,870,250,000 ","44,223,800 ","502,990,250,000 ","7,397,364,211,250 "
423,13/09/2024,VIX,"11,250 ","11,400 ","11,300 ","11,500 ","11,250 ","11,364 ",50 ,0.44 ,"11,841,900 ","134,567,000,000 ","2,000,000 ","21,000,000,000 ","13,841,900 ","155,567,000,000 ","7,564,725,392,500 "
424,12/09/2024,VIX,"11,300 ","11,500 ","11,250 ","11,550 ","11,250 ","11,376 ",(50),(0.44),"8,021,600 ","91,252,000,000 ","300,000 ","3,300,000,000 ","8,321,600 ","94,552,000,000 ","7,531,253,156,250 "
425,11/09/2024,VIX,"11,350 ","11,350 ","11,300 ","11,500 ","11,150 ","11,326 ",(50),(0.44),"14,810,100 ","167,746,000,000 ",0 ,0 ,"14,810,100 ","167,746,000,000 ","7,564,725,392,500 "
426,10/09/2024,VIX,"11,650 ","11,800 ","11,350 ","11,800 ","11,250 ","11,486 ",(300),(2.58),"21,326,400 ","244,964,000,000 ","205,000 ","2,226,300,000 ","21,531,400 ","247,190,300,000 ","7,598,197,628,750 "
427,09/09/2024,VIX,"11,800 ","11,800 ","11,650 ","11,800 ","11,550 ","11,659 ",(150),(1.27),"14,059,000 ","163,918,000,000 ","50,000 ","575,000,000 ","14,109,000 ","164,493,000,000 ","7,799,031,046,250 "
428,06/09/2024,VIX,"11,900 ","11,900 ","11,800 ","11,950 ","11,650 ","11,774 ",(100),(0.84),"17,922,300 ","211,011,000,000 ",0 ,0 ,"17,922,300 ","211,011,000,000 ","7,899,447,755,000 "
429,05/09/2024,VIX,"12,000 ","12,150 ","11,900 ","12,200 ","11,800 ","11,983 ",(100),(0.83),"20,041,100 ","240,143,000,000 ",0 ,0 ,"20,041,100 ","240,143,000,000 ","7,966,392,227,500 "
430,04/09/2024,VIX,"12,150 ","11,900 ","12,000 ","12,100 ","11,850 ","11,945 ",(150),(1.23),"20,352,200 ","243,108,000,000 ",0 ,0 ,"20,352,200 ","243,108,000,000 ","8,033,336,700,000 "
431,30/08/2024,VIX,"12,150 ","12,200 ","12,150 ","12,200 ","11,900 ","12,074 ",0 ,0.00 ,"40,942,100 ","494,327,000,000 ","2,040,000 ","24,452,000,000 ","42,982,100 ","518,779,000,000 ","8,133,753,408,750 "
432,29/08/2024,VIX,"12,050 ","12,100 ","12,150 ","12,350 ","11,900 ","12,140 ",100 ,0.83 ,"54,515,500 ","661,800,000,000 ",0 ,0 ,"54,515,500 ","661,800,000,000 ","8,133,753,408,750 "
433,28/08/2024,VIX,"11,900 ","11,950 ","12,050 ","12,050 ","11,650 ","11,883 ",150 ,1.26 ,"36,321,300 ","431,616,000,000 ","350,000 ","4,095,000,000 ","36,671,300 ","435,711,000,000 ","8,066,808,936,250 "
434,27/08/2024,VIX,"12,150 ","12,100 ","11,900 ","12,150 ","11,800 ","11,957 ",(250),(2.06),"26,442,400 ","316,177,000,000 ","82,000 ","1,000,400,000 ","26,524,400 ","317,177,400,000 ","7,966,392,227,500 "
435,26/08/2024,VIX,"12,150 ","12,300 ","12,150 ","12,400 ","12,050 ","12,207 ",0 ,0.00 ,"31,266,200 ","381,672,000,000 ","390,000 ","4,720,000,000 ","31,656,200 ","386,392,000,000 ","8,133,753,408,750 "
436,23/08/2024,VIX,"12,150 ","12,150 ","12,150 ","12,250 ","11,900 ","12,085 ",0 ,0.00 ,"28,508,900 ","344,524,000,000 ",0 ,0 ,"28,508,900 ","344,524,000,000 ","8,133,753,408,750 "
437,22/08/2024,VIX,"12,250 ","12,250 ","12,150 ","12,250 ","12,050 ","12,147 ",(100),(0.82),"18,601,500 ","225,950,000,000 ","350,000 ","4,200,000,000 ","18,951,500 ","230,150,000,000 ","8,133,753,408,750 "
438,21/08/2024,VIX,"12,150 ","12,100 ","12,250 ","12,250 ","11,950 ","12,099 ",100 ,0.82 ,"22,595,700 ","273,376,000,000 ",0 ,0 ,"22,595,700 ","273,376,000,000 ","8,200,697,881,250 "
439,20/08/2024,VIX,"12,000 ","12,000 ","12,150 ","12,350 ","11,750 ","12,037 ",150 ,1.25 ,"37,741,700 ","454,285,000,000 ","350,000 ","4,200,000,000 ","38,091,700 ","458,485,000,000 ","8,133,753,408,750 "
440,19/08/2024,VIX,"11,950 ","12,200 ","12,000 ","12,250 ","11,850 ","12,013 ",50 ,0.42 ,"25,136,700 ","301,968,000,000 ","30,000 ","334,500,000 ","25,166,700 ","302,302,500,000 ","8,033,336,700,000 "
441,16/08/2024,VIX,"11,200 ","11,250 ","11,950 ","11,950 ","11,200 ","11,690 ",750 ,6.70 ,"55,165,900 ","644,879,000,000 ",0 ,0 ,"55,165,900 ","644,879,000,000 ","7,999,864,463,750 "
442,15/08/2024,VIX,"11,100 ","11,150 ","11,200 ","11,200 ","10,900 ","11,045 ",100 ,0.90 ,"15,148,700 ","167,321,000,000 ",0 ,0 ,"15,148,700 ","167,321,000,000 ","7,497,780,920,000 "
443,14/08/2024,VIX,"11,350 ","11,450 ","11,100 ","11,450 ","11,050 ","11,183 ",(250),(2.20),"17,980,300 ","201,077,000,000 ",0 ,0 ,"17,980,300 ","201,077,000,000 ","7,430,836,447,500 "
444,13/08/2024,VIX,"11,500 ","11,500 ","11,350 ","11,500 ","11,150 ","11,306 ",(150),(1.30),"15,174,500 ","171,570,000,000 ","600,000 ","6,714,000,000 ","15,774,500 ","178,284,000,000 ","7,598,197,628,750 "
445,12/08/2024,VIX,"11,350 ","11,400 ","11,500 ","11,500 ","11,300 ","11,404 ",150 ,1.32 ,"13,020,800 ","148,491,000,000 ",0 ,0 ,"13,020,800 ","148,491,000,000 ","7,698,614,337,500 "
446,09/08/2024,VIX,"11,100 ","11,300 ","11,350 ","11,450 ","11,150 ","11,315 ",250 ,2.25 ,"21,616,400 ","244,584,000,000 ","200,000 ","2,290,000,000 ","21,816,400 ","246,874,000,000 ","7,598,197,628,750 "
447,08/08/2024,VIX,"11,150 ","11,000 ","11,100 ","11,350 ","11,000 ","11,141 ",(50),(0.45),"11,727,900 ","130,660,000,000 ",0 ,0 ,"11,727,900 ","130,660,000,000 ","7,430,836,447,500 "
448,07/08/2024,VIX,"11,150 ","11,250 ","11,150 ","11,250 ","10,950 ","11,076 ",0 ,0.00 ,"11,779,100 ","130,470,000,000 ",0 ,0 ,"11,779,100 ","130,470,000,000 ","7,464,308,683,750 "
449,06/08/2024,VIX,"10,850 ","11,150 ","11,150 ","11,250 ","10,850 ","11,058 ",300 ,2.76 ,"15,203,300 ","168,124,000,000 ","735,000 ","8,379,000,000 ","15,938,300 ","176,503,000,000 ","7,464,308,683,750 "
450,05/08/2024,VIX,"11,500 ","11,150 ","10,850 ","11,500 ","10,750 ","11,066 ",(650),(5.65),"24,602,800 ","272,244,000,000 ",0 ,0 ,"24,602,800 ","272,244,000,000 ","7,263,475,266,250 "
451,02/08/2024,VIX,"11,150 ","11,100 ","11,500 ","11,550 ","11,000 ","11,257 ",350 ,3.14 ,"24,816,400 ","279,360,000,000 ",0 ,0 ,"24,816,400 ","279,360,000,000 ","7,698,614,337,500 "
452,01/08/2024,VIX,"11,250 ","11,550 ","11,150 ","11,550 ","10,900 ","11,238 ",(100),(0.89),"32,787,900 ","368,483,000,000 ",0 ,0 ,"32,787,900 ","368,483,000,000 ","7,464,308,683,750 "
453,31/07/2024,VIX,"10,550 ","11,250 ","11,250 ","11,250 ","11,100 ","11,240 ",700 ,6.64 ,"28,663,500 ","322,189,000,000 ","2,620,600 ","26,202,292,000 ","31,284,100 ","348,391,292,000 ","7,531,253,156,250 "
454,30/07/2024,VIX,"13,900 ","13,900 ","13,200 ","13,900 ","13,200 ","13,405 ",(700),(5.04),"39,949,300 ","535,530,000,000 ","1,300,000 ","17,550,000,000 ","41,249,300 ","553,080,000,000 ","8,836,670,370,000 "
455,29/07/2024,VIX,"13,800 ","13,900 ","13,900 ","14,200 ","13,850 ","14,015 ",100 ,0.72 ,"22,024,400 ","308,665,000,000 ",0 ,0 ,"22,024,400 ","308,665,000,000 ","9,305,281,677,500 "
456,26/07/2024,VIX,"14,050 ","14,200 ","13,800 ","14,200 ","13,650 ","13,854 ",(250),(1.78),"20,236,800 ","280,358,000,000 ","200,000 ","3,000,000,000 ","20,436,800 ","283,358,000,000 ","9,238,337,205,000 "
457,25/07/2024,VIX,"14,500 ","14,500 ","14,050 ","14,500 ","14,000 ","14,150 ",(450),(3.10),"9,187,300 ","130,002,000,000 ",0 ,0 ,"9,187,300 ","130,002,000,000 ","9,405,698,386,250 "
458,24/07/2024,VIX,"13,950 ","13,550 ","14,500 ","14,550 ","13,550 ","13,994 ",550 ,3.94 ,"18,622,400 ","260,598,000,000 ",0 ,0 ,"18,622,400 ","260,598,000,000 ","9,706,948,512,500 "
459,23/07/2024,VIX,"14,750 ","14,950 ","13,950 ","15,000 ","13,900 ","14,246 ",(800),(5.42),"31,441,600 ","447,911,000,000 ",0 ,0 ,"31,441,600 ","447,911,000,000 ","9,338,753,913,750 "
460,22/07/2024,VIX,"15,800 ","15,400 ","14,750 ","15,550 ","14,750 ","15,027 ","(1,050)",(6.65),"27,572,200 ","414,326,000,000 ","1,100,000 ","16,170,000,000 ","28,672,200 ","430,496,000,000 ","9,874,309,693,750 "
461,19/07/2024,VIX,"16,950 ","16,850 ","15,800 ","16,900 ","15,800 ","16,082 ","(1,150)",(6.78),"55,222,400 ","888,113,000,000 ",0 ,0 ,"55,222,400 ","888,113,000,000 ","10,577,226,655,000 "
462,18/07/2024,VIX,"16,600 ","16,700 ","16,950 ","16,950 ","16,400 ","16,642 ",350 ,2.11 ,"7,969,300 ","132,622,000,000 ",0 ,0 ,"7,969,300 ","132,622,000,000 ","11,347,088,088,750 "
463,17/07/2024,VIX,"16,900 ","17,100 ","16,600 ","17,200 ","16,450 ","16,906 ",(300),(1.78),"14,003,900 ","236,747,000,000 ",0 ,0 ,"14,003,900 ","236,747,000,000 ","11,112,782,435,000 "
464,16/07/2024,VIX,"16,850 ","16,950 ","16,900 ","17,200 ","16,850 ","17,016 ",50 ,0.30 ,"8,490,500 ","144,471,000,000 ",0 ,0 ,"8,490,500 ","144,471,000,000 ","11,313,615,852,500 "
465,15/07/2024,VIX,"16,850 ","16,950 ","16,850 ","17,000 ","16,800 ","16,869 ",0 ,0.00 ,"5,485,800 ","92,542,000,000 ","40,100 ","721,800,000 ","5,525,900 ","93,263,800,000 ","11,280,143,616,250 "
466,12/07/2024,VIX,"17,200 ","17,250 ","16,850 ","17,300 ","16,850 ","17,021 ",(350),(2.03),"9,459,200 ","161,002,000,000 ",0 ,0 ,"9,459,200 ","161,002,000,000 ","11,280,143,616,250 "
467,11/07/2024,VIX,"17,000 ","17,150 ","17,200 ","17,300 ","17,050 ","17,200 ",200 ,1.18 ,"9,638,400 ","165,780,000,000 ",0 ,0 ,"9,638,400 ","165,780,000,000 ","11,514,449,270,000 "
468,10/07/2024,VIX,"17,250 ","17,250 ","17,000 ","17,300 ","17,000 ","17,092 ",(250),(1.45),"6,093,700 ","104,151,000,000 ",0 ,0 ,"6,093,700 ","104,151,000,000 ","11,380,560,325,000 "
469,09/07/2024,VIX,"16,800 ","16,800 ","17,250 ","17,300 ","16,800 ","17,089 ",450 ,2.68 ,"13,005,100 ","222,240,000,000 ",0 ,0 ,"13,005,100 ","222,240,000,000 ","11,547,921,506,250 "
470,08/07/2024,VIX,"16,800 ","16,950 ","16,800 ","17,050 ","16,750 ","16,870 ",0 ,0.00 ,"6,437,900 ","108,606,000,000 ",0 ,0 ,"6,437,900 ","108,606,000,000 ","11,246,671,380,000 "
471,05/07/2024,VIX,"16,950 ","17,000 ","16,800 ","17,000 ","16,700 ","16,828 ",(150),(0.88),"6,754,800 ","113,671,000,000 ",0 ,0 ,"6,754,800 ","113,671,000,000 ","11,246,671,380,000 "
472,04/07/2024,VIX,"17,050 ","17,100 ","16,950 ","17,300 ","16,900 ","17,086 ",(100),(0.59),"6,217,500 ","106,234,000,000 ",0 ,0 ,"6,217,500 ","106,234,000,000 ","11,347,088,088,750 "
473,03/07/2024,VIX,"16,850 ","16,850 ","17,050 ","17,150 ","16,850 ","16,992 ",200 ,1.19 ,"7,895,700 ","134,160,000,000 ",0 ,0 ,"7,895,700 ","134,160,000,000 ","11,414,032,561,250 "
474,02/07/2024,VIX,"16,600 ","16,700 ","16,850 ","16,850 ","16,650 ","16,749 ",250 ,1.51 ,"5,463,100 ","91,504,000,000 ",0 ,0 ,"5,463,100 ","91,504,000,000 ","11,280,143,616,250 "
475,01/07/2024,VIX,"16,400 ","16,500 ","16,600 ","16,650 ","16,250 ","16,444 ",200 ,1.22 ,"6,408,700 ","105,385,000,000 ",0 ,0 ,"6,408,700 ","105,385,000,000 ","11,112,782,435,000 "
476,28/06/2024,VIX,"16,800 ","16,800 ","16,400 ","16,900 ","16,200 ","16,541 ",(400),(2.38),"15,197,200 ","251,370,000,000 ",0 ,0 ,"15,197,200 ","251,370,000,000 ","10,978,893,490,000 "
477,27/06/2024,VIX,"16,800 ","16,800 ","16,800 ","16,950 ","16,650 ","16,794 ",0 ,0.00 ,"7,150,700 ","120,086,000,000 ",0 ,0 ,"7,150,700 ","120,086,000,000 ","11,246,671,380,000 "
478,26/06/2024,VIX,"16,800 ","16,800 ","16,800 ","17,050 ","16,700 ","16,847 ",0 ,0.00 ,"7,789,700 ","131,235,000,000 ",0 ,0 ,"7,789,700 ","131,235,000,000 ","11,246,671,380,000 "
479,25/06/2024,VIX,"16,700 ","16,800 ","16,800 ","16,950 ","16,650 ","16,776 ",100 ,0.60 ,"10,805,700 ","181,272,000,000 ",0 ,0 ,"10,805,700 ","181,272,000,000 ","11,246,671,380,000 "
480,24/06/2024,VIX,"17,500 ","17,500 ","16,700 ","17,600 ","16,600 ","16,925 ",(800),(4.57),"33,192,500 ","561,778,000,000 ",0 ,0 ,"33,192,500 ","561,778,000,000 ","11,179,726,907,500 "
481,21/06/2024,VIX,"17,600 ","17,650 ","17,500 ","17,800 ","17,500 ","17,645 ",(100),(0.57),"15,258,900 ","269,245,000,000 ",0 ,0 ,"15,258,900 ","269,245,000,000 ","11,715,282,687,500 "
482,20/06/2024,VIX,"18,050 ","18,150 ","17,600 ","18,150 ","17,600 ","17,842 ",(450),(2.49),"22,939,200 ","409,285,000,000 ",0 ,0 ,"22,939,200 ","409,285,000,000 ","11,782,227,160,000 "
483,19/06/2024,VIX,"18,200 ","18,200 ","18,050 ","18,300 ","18,000 ","18,122 ",(150),(0.82),"15,750,500 ","285,423,000,000 ","51,198 ","921,564,000 ","15,801,698 ","286,344,564,000 ","12,083,477,286,250 "
484,18/06/2024,VIX,"18,200 ","18,350 ","18,200 ","18,450 ","18,150 ","18,280 ",0 ,0.00 ,"13,424,600 ","245,408,000,000 ",0 ,0 ,"13,424,600 ","245,408,000,000 ","12,183,893,995,000 "
485,17/06/2024,VIX,"18,200 ","18,200 ","18,200 ","18,400 ","18,050 ","18,203 ",0 ,0.00 ,"17,129,000 ","311,801,000,000 ",0 ,0 ,"17,129,000 ","311,801,000,000 ","12,183,893,995,000 "
486,14/06/2024,VIX,"18,900 ","19,050 ","18,200 ","19,200 ","18,200 ","18,822 ",(700),(3.70),"32,262,000 ","607,233,000,000 ",0 ,0 ,"32,262,000 ","607,233,000,000 ","12,183,893,995,000 "
487,13/06/2024,VIX,"19,050 ","19,200 ","18,900 ","19,250 ","18,900 ","19,013 ",(150),(0.79),"15,162,300 ","288,282,000,000 ",0 ,0 ,"15,162,300 ","288,282,000,000 ","12,652,505,302,500 "
488,12/06/2024,VIX,"18,350 ","18,450 ","19,050 ","19,250 ","18,400 ","18,915 ",700 ,3.81 ,"50,539,200 ","955,953,000,000 ",0 ,0 ,"50,539,200 ","955,953,000,000 ","12,752,922,011,250 "
489,11/06/2024,VIX,"18,250 ","18,350 ","18,350 ","18,400 ","18,100 ","18,224 ",100 ,0.55 ,"17,089,900 ","311,450,000,000 ",0 ,0 ,"17,089,900 ","311,450,000,000 ","12,284,310,703,750 "
490,10/06/2024,VIX,"18,050 ","18,150 ","18,250 ","18,450 ","18,100 ","18,270 ",200 ,1.11 ,"14,502,000 ","264,957,000,000 ","90,000 ","1,530,000,000 ","14,592,000 ","266,487,000,000 ","12,217,366,231,250 "
491,07/06/2024,VIX,"18,100 ","18,200 ","18,050 ","18,250 ","18,050 ","18,111 ",(50),(0.28),"12,232,300 ","221,543,000,000 ",0 ,0 ,"12,232,300 ","221,543,000,000 ","12,083,477,286,250 "
492,06/06/2024,VIX,"18,150 ","18,200 ","18,100 ","18,350 ","18,000 ","18,149 ",(50),(0.28),"11,665,700 ","211,722,000,000 ","90,000 ","1,737,000,000 ","11,755,700 ","213,459,000,000 ","12,116,949,522,500 "
493,05/06/2024,VIX,"18,250 ","18,400 ","18,150 ","18,500 ","18,150 ","18,285 ",(100),(0.55),"13,273,400 ","242,706,000,000 ",0 ,0 ,"13,273,400 ","242,706,000,000 ","12,150,421,758,750 "
494,04/06/2024,VIX,"18,350 ","18,400 ","18,250 ","18,650 ","18,250 ","18,433 ",(100),(0.54),"17,645,100 ","325,260,000,000 ",0 ,0 ,"17,645,100 ","325,260,000,000 ","12,217,366,231,250 "
495,03/06/2024,VIX,"18,000 ","18,200 ","18,350 ","18,500 ","18,200 ","18,359 ",350 ,1.94 ,"23,339,400 ","428,486,000,000 ","100,000 ","1,880,000,000 ","23,439,400 ","430,366,000,000 ","12,284,310,703,750 "
496,31/05/2024,VIX,"17,900 ","17,900 ","18,000 ","18,250 ","17,900 ","18,102 ",100 ,0.56 ,"16,869,900 ","305,376,000,000 ",0 ,0 ,"16,869,900 ","305,376,000,000 ","12,050,005,050,000 "
497,30/05/2024,VIX,"18,000 ","17,750 ","17,900 ","18,050 ","17,550 ","17,760 ",(100),(0.56),"21,945,200 ","389,745,000,000 ",0 ,0 ,"21,945,200 ","389,745,000,000 ","11,983,060,577,500 "
498,29/05/2024,VIX,"18,150 ","18,150 ","18,000 ","18,400 ","17,900 ","18,103 ",(150),(0.83),"18,816,300 ","340,626,000,000 ",0 ,0 ,"18,816,300 ","340,626,000,000 ","12,050,005,050,000 "
499,28/05/2024,VIX,"17,900 ","18,000 ","18,150 ","18,200 ","17,900 ","18,073 ",250 ,1.40 ,"15,171,500 ","274,188,000,000 ",0 ,0 ,"15,171,500 ","274,188,000,000 ","12,150,421,758,750 "
500,27/05/2024,VIX,"17,700 ","17,700 ","17,900 ","17,950 ","17,500 ","17,712 ",200 ,1.13 ,"11,674,100 ","206,775,000,000 ",0 ,0 ,"11,674,100 ","206,775,000,000 ","11,983,060,577,500 "
501,24/05/2024,VIX,"18,400 ","18,150 ","17,700 ","18,250 ","17,450 ","17,890 ",(700),(3.80),"34,730,400 ","621,338,000,000 ",0 ,0 ,"34,730,400 ","621,338,000,000 ","11,849,171,632,500 "
502,23/05/2024,VIX,"18,200 ","18,150 ","18,400 ","18,400 ","17,650 ","18,028 ",200 ,1.10 ,"29,132,500 ","525,201,000,000 ",0 ,0 ,"29,132,500 ","525,201,000,000 ","12,317,782,940,000 "
503,22/05/2024,VIX,"18,300 ","18,350 ","18,200 ","18,750 ","18,100 ","18,443 ",(100),(0.55),"28,465,200 ","524,978,000,000 ",0 ,0 ,"28,465,200 ","524,978,000,000 ","12,183,893,995,000 "
504,21/05/2024,VIX,"18,250 ","18,250 ","18,300 ","18,400 ","17,950 ","18,179 ",50 ,0.27 ,"20,781,800 ","377,792,000,000 ",0 ,0 ,"20,781,800 ","377,792,000,000 ","12,250,838,467,500 "
505,20/05/2024,VIX,"18,250 ","18,500 ","18,250 ","18,600 ","18,250 ","18,433 ",0 ,0.00 ,"22,182,800 ","408,886,000,000 ",0 ,0 ,"22,182,800 ","408,886,000,000 ","12,217,366,231,250 "
506,17/05/2024,VIX,"18,150 ","18,200 ","18,250 ","18,450 ","18,050 ","18,223 ",100 ,0.55 ,"20,800,900 ","379,052,000,000 ",0 ,0 ,"20,800,900 ","379,052,000,000 ","12,217,366,231,250 "
507,16/05/2024,VIX,"17,850 ","18,100 ","18,150 ","18,350 ","18,000 ","18,201 ",300 ,1.68 ,"27,146,500 ","494,087,000,000 ","60,000 ","1,053,000,000 ","27,206,500 ","495,140,000,000 ","12,150,421,758,750 "
508,15/05/2024,VIX,"17,500 ","17,500 ","17,850 ","18,150 ","17,500 ","17,823 ",350 ,2.00 ,"27,860,800 ","496,575,000,000 ","120,000 ","2,186,000,000 ","27,980,800 ","498,761,000,000 ","11,949,588,341,250 "
509,14/05/2024,VIX,"17,550 ","17,600 ","17,500 ","17,750 ","17,450 ","17,550 ",(50),(0.28),"9,984,700 ","175,232,000,000 ","60,000 ","1,053,000,000 ","10,044,700 ","176,285,000,000 ","11,715,282,687,500 "
510,13/05/2024,VIX,"17,550 ","17,600 ","17,550 ","17,800 ","17,400 ","17,604 ",0 ,0.00 ,"17,701,600 ","311,625,000,000 ",0 ,0 ,"17,701,600 ","311,625,000,000 ","11,748,754,923,750 "
511,10/05/2024,VIX,"17,250 ","17,400 ","17,550 ","17,600 ","17,150 ","17,370 ",300 ,1.74 ,"18,466,000 ","320,749,000,000 ",0 ,0 ,"18,466,000 ","320,749,000,000 ","11,748,754,923,750 "
512,09/05/2024,VIX,"17,500 ","17,600 ","17,250 ","17,700 ","17,200 ","17,417 ",(250),(1.43),"17,253,400 ","300,510,000,000 ",0 ,0 ,"17,253,400 ","300,510,000,000 ","11,547,921,506,250 "
513,08/05/2024,VIX,"17,500 ","17,300 ","17,500 ","17,750 ","17,150 ","17,439 ",0 ,0.00 ,"22,962,200 ","400,432,000,000 ",0 ,0 ,"22,962,200 ","400,432,000,000 ","11,715,282,687,500 "
514,07/05/2024,VIX,"17,600 ","17,600 ","17,500 ","17,650 ","17,350 ","17,467 ",(100),(0.57),"14,662,100 ","256,102,000,000 ","30,000 ","505,500,000 ","14,692,100 ","256,607,500,000 ","11,715,282,687,500 "
515,06/05/2024,VIX,"16,800 ","17,000 ","17,600 ","17,650 ","16,900 ","17,377 ",800 ,4.76 ,"28,662,500 ","498,056,000,000 ","70,000 ","1,095,500,000 ","28,732,500 ","499,151,500,000 ","11,782,227,160,000 "
516,03/05/2024,VIX,"16,750 ","17,000 ","16,800 ","17,100 ","16,700 ","16,950 ",50 ,0.30 ,"14,412,500 ","244,285,000,000 ","30,000 ","504,000,000 ","14,442,500 ","244,789,000,000 ","11,246,671,380,000 "
517,02/05/2024,VIX,"16,850 ","16,850 ","16,750 ","16,950 ","16,600 ","16,769 ",(100),(0.59),"11,509,400 ","192,998,000,000 ",0 ,0 ,"11,509,400 ","192,998,000,000 ","11,213,199,143,750 "
